name	kind	paramMin	varargs	origin	originLine	decl
SetMasterVolume	function	1	0	raylib.h	1669	I void SetMasterVolume(float volume); // Set master volume (listener)
SetMaterialTexture	function	3	0	raylib.h	1640	I void SetMaterialTexture(Material *material, int mapType, Texture2D texture); // Set texture for a material map type (MATERIAL_MAP_DIFFUSE, MATERIAL_MAP_SPECULAR...)
SetModelMeshMaterial	function	3	0	raylib.h	1641	I void SetModelMeshMaterial(Model *model, int meshId, int materialId); // Set material for a mesh
SetMouseCursor	function	1	0	raylib.h	1237	I void SetMouseCursor(int cursor); // Set mouse cursor
SetMouseOffset	function	2	0	raylib.h	1233	I void SetMouseOffset(int offsetX, int offsetY); // Set mouse offset
SetMousePosition	function	2	0	raylib.h	1232	I void SetMousePosition(int x, int y); // Set mouse position XY
SetMouseScale	function	2	0	raylib.h	1234	I void SetMouseScale(float scaleX, float scaleY); // Set mouse scaling
SetMusicPan	function	2	0	raylib.h	1716	I void SetMusicPan(Music music, float pan); // Set pan for music (-1.0 left, 0.0 center, 1.0 right)
SetMusicPitch	function	2	0	raylib.h	1715	I void SetMusicPitch(Music music, float pitch); // Set pitch for music (1.0 is base level)
SetMusicVolume	function	2	0	raylib.h	1714	I void SetMusicVolume(Music music, float volume); // Set volume for music (1.0 is max level)
SetPixelColor	function	3	0	raylib.h	1485	I void SetPixelColor(void *dstPtr, Color color, int format); // Set color formatted into destination pixel pointer
SetRandomSeed	function	1	0	raylib.h	1108	I void SetRandomSeed(unsigned int seed); // Set the seed for the random number generator
SetSaveFileDataCallback	function	1	0	raylib.h	1140	I void SetSaveFileDataCallback(SaveFileDataCallback callback); // Set custom file binary data saver
SetSaveFileTextCallback	function	1	0	raylib.h	1142	I void SetSaveFileTextCallback(SaveFileTextCallback callback); // Set custom file text data saver
SetShaderValue	function	4	0	raylib.h	1076	I void SetShaderValue(Shader shader, int locIndex, const void *value, int uniformType); // Set shader uniform value
SetShaderValueMatrix	function	3	0	raylib.h	1078	I void SetShaderValueMatrix(Shader shader, int locIndex, Matrix mat); // Set shader uniform value (matrix 4x4)
SetShaderValueTexture	function	3	0	raylib.h	1079	I void SetShaderValueTexture(Shader shader, int locIndex, Texture2D texture); // Set shader uniform value and bind the texture (sampler2d)
SetShaderValueV	function	5	0	raylib.h	1077	I void SetShaderValueV(Shader shader, int locIndex, const void *value, int uniformType, int count); // Set shader uniform value vector
SetShapesTexture	function	2	0	raylib.h	1270	I void SetShapesTexture(Texture2D texture, Rectangle rec); // Set texture and rectangle to be used on shapes drawing
SetSoundPan	function	2	0	raylib.h	1695	I void SetSoundPan(Sound sound, float pan); // Set pan for a sound (-1.0 left, 0.0 center, 1.0 right)
SetSoundPitch	function	2	0	raylib.h	1694	I void SetSoundPitch(Sound sound, float pitch); // Set pitch for a sound (1.0 is base level)
SetSoundVolume	function	2	0	raylib.h	1693	I void SetSoundVolume(Sound sound, float volume); // Set volume for a sound (1.0 is max level)
SetTargetFPS	function	1	0	raylib.h	1094	I void SetTargetFPS(int fps); // Set target FPS (maximum)
SetTextLineSpacing	function	1	0	raylib.h	1514	I void SetTextLineSpacing(int spacing); // Set vertical line spacing when drawing with line-breaks
SetTextureFilter	function	2	0	raylib.h	1458	I void SetTextureFilter(Texture2D texture, int filter); // Set texture scaling filter mode
SetTextureWrap	function	2	0	raylib.h	1459	I void SetTextureWrap(Texture2D texture, int wrap); // Set texture wrapping mode
SetTraceLogCallback	function	1	0	raylib.h	1121	I void SetTraceLogCallback(TraceLogCallback callback); // Set custom trace log
SetTraceLogLevel	function	1	0	raylib.h	1119	I void SetTraceLogLevel(int logLevel); // Set the current threshold (minimum) log level
SetWindowFocused	function	0	0	raylib.h	1015	I void SetWindowFocused(void); // Set window focused
SetWindowIcon	function	1	0	raylib.h	1006	I void SetWindowIcon(Image image); // Set icon for window (single image, RGBA 32bit)
SetWindowIcons	function	2	0	raylib.h	1007	I void SetWindowIcons(Image *images, int count); // Set icon for window (multiple images, RGBA 32bit)
SetWindowMaxSize	function	2	0	raylib.h	1012	I void SetWindowMaxSize(int width, int height); // Set window maximum dimensions (for FLAG_WINDOW_RESIZABLE)
SetWindowMinSize	function	2	0	raylib.h	1011	I void SetWindowMinSize(int width, int height); // Set window minimum dimensions (for FLAG_WINDOW_RESIZABLE)
SetWindowMonitor	function	1	0	raylib.h	1010	I void SetWindowMonitor(int monitor); // Set monitor for the current window
SetWindowOpacity	function	1	0	raylib.h	1014	I void SetWindowOpacity(float opacity); // Set window opacity [0.0f..1.0f]
SetWindowPosition	function	2	0	raylib.h	1009	I void SetWindowPosition(int x, int y); // Set window position on screen
SetWindowSize	function	2	0	raylib.h	1013	I void SetWindowSize(int width, int height); // Set window dimensions
SetWindowState	function	1	0	raylib.h	999	I void SetWindowState(unsigned int flags); // Set window configuration state using flags
SetWindowTitle	function	1	0	raylib.h	1008	I void SetWindowTitle(const char *title); // Set title for window
Shader	typedef_struct	-1	0	raylib.h	375	t Shader {
ShaderAttributeDataType	typedef_enum	-1	0	raylib.h	844	m {
ShaderLocationIndex	typedef_enum	-1	0	raylib.h	790	m {
ShaderUniformDataType	typedef_enum	-1	0	raylib.h	827	m {
ShowCursor	function	0	0	raylib.h	1039	I void ShowCursor(void); // Show cursor
Sound	typedef_struct	-1	0	raylib.h	489	t Sound {
StartAutomationEventRecording	function	0	0	raylib.h	1191	I void StartAutomationEventRecording(void); // Start recording automation events (AutomationEventList must be set)
StopAudioStream	function	1	0	raylib.h	1730	I void StopAudioStream(AudioStream stream); // Stop audio stream
StopAutomationEventRecording	function	0	0	raylib.h	1192	I void StopAutomationEventRecording(void); // Stop recording automation events
StopMusicStream	function	1	0	raylib.h	1710	I void StopMusicStream(Music music); // Stop music playing
StopSound	function	1	0	raylib.h	1689	I void StopSound(Sound sound); // Stop playing a sound
SwapScreenBuffer	function	0	0	raylib.h	1103	I void SwapScreenBuffer(void); // Swap back buffer with front buffer (screen drawing)
TakeScreenshot	function	1	0	raylib.h	1114	I void TakeScreenshot(const char *fileName); // Takes a screenshot of current screen (filename extension defines format)
TextAppend	function	3	0	raylib.h	1553	I void TextAppend(char *text, const char *append, int *position); // Append text at specific position and move cursor
TextCopy	function	2	0	raylib.h	1538	I int TextCopy(char *dst, const char *src); // Copy one string to another, returns bytes copied
TextFindIndex	function	2	0	raylib.h	1554	I int TextFindIndex(const char *text, const char *search); // Find first text occurrence within a string, -1 if not found
TextFormat	function	1	1	raylib.h	1541	I const char *TextFormat(const char *text, ...); // Text formatting with variables (sprintf() style)
TextInsert	function	3	0	raylib.h	1549	I char *TextInsert(const char *text, const char *insert, int position); // Insert text in a defined byte position
TextInsertAlloc	function	3	0	raylib.h	1550	I char *TextInsertAlloc(const char *text, const char *insert, int position); // Insert text in a defined byte position, memory must be MemFree()
TextIsEqual	function	2	0	raylib.h	1539	I bool TextIsEqual(const char *text1, const char *text2); // Check if two text strings are equal
TextJoin	function	3	0	raylib.h	1551	I char *TextJoin(char **textList, int count, const char *delimiter); // Join text strings with delimiter
TextLength	function	1	0	raylib.h	1540	I unsigned int TextLength(const char *text); // Get text length, checks for '\0' ending
TextRemoveSpaces	function	1	0	raylib.h	1543	I const char *TextRemoveSpaces(const char *text); // Remove text spaces, concat words
TextReplace	function	3	0	raylib.h	1545	I char *TextReplace(const char *text, const char *search, const char *replacement); // Replace text string with new string
TextReplaceAlloc	function	3	0	raylib.h	1546	I char *TextReplaceAlloc(const char *text, const char *search, const char *replacement); // Replace text string with new string, memory must be MemFree()
TextReplaceBetween	function	4	0	raylib.h	1547	I char *TextReplaceBetween(const char *text, const char *begin, const char *end, const char *replacement); // Replace text between two specific strings
TextReplaceBetweenAlloc	function	4	0	raylib.h	1548	I char *TextReplaceBetweenAlloc(const char *text, const char *begin, const char *end, const char *replacement); // Replace text between two specific strings, memory must be MemFree()
TextSplit	function	3	0	raylib.h	1552	I char **TextSplit(const char *text, char delimiter, int *count); // Split text into multiple strings, using MAX_TEXTSPLIT_COUNT static strings
TextSubtext	function	3	0	raylib.h	1542	I const char *TextSubtext(const char *text, int position, int length); // Get a piece of a text string
TextToCamel	function	1	0	raylib.h	1559	I char *TextToCamel(const char *text); // Get Camel case notation version of provided string
TextToFloat	function	1	0	raylib.h	1561	I float TextToFloat(const char *text); // Get float value from text
TextToInteger	function	1	0	raylib.h	1560	I int TextToInteger(const char *text); // Get integer value from text
TextToLower	function	1	0	raylib.h	1556	I char *TextToLower(const char *text); // Get lower case version of provided string
TextToPascal	function	1	0	raylib.h	1557	I char *TextToPascal(const char *text); // Get Pascal case notation version of provided string
TextToSnake	function	1	0	raylib.h	1558	I char *TextToSnake(const char *text); // Get Snake case notation version of provided string
TextToUpper	function	1	0	raylib.h	1555	I char *TextToUpper(const char *text); // Get upper case version of provided string
Texture	typedef_struct	-1	0	raylib.h	273	t Texture {
Texture2D	typedef_alias	-1	0	raylib.h	282	e Texture2D;
TextureCubemap	typedef_alias	-1	0	raylib.h	285	e TextureCubemap;
TextureFilter	typedef_enum	-1	0	raylib.h	883	m {
TextureWrap	typedef_enum	-1	0	raylib.h	893	m {
ToggleBorderlessWindowed	function	0	0	raylib.h	1002	I void ToggleBorderlessWindowed(void); // Toggle window state: borderless windowed, resizes window to match monitor resolution
ToggleFullscreen	function	0	0	raylib.h	1001	I void ToggleFullscreen(void); // Toggle window state: fullscreen/windowed, resizes monitor to match window resolution
TouchAction	typedef_enum	-1	0	rgestures.h	98	m {
TraceLog	function	2	1	raylib.h	1120	I void TraceLog(int logLevel, const char *text, ...); // Show trace log messages (LOG_DEBUG, LOG_INFO, LOG_WARNING, LOG_ERROR...)
TraceLogCallback	typedef_alias	-1	0	raylib.h	968	d (*TraceLogCallback)(int logLevel, const char *text, va_list args); // Logging: Redirect trace log messages
TraceLogLevel	typedef_enum	-1	0	raylib.h	576	m {
Transform	typedef_struct	-1	0	raylib.h	395	t Transform {
UnloadAudioStream	function	1	0	raylib.h	1723	I void UnloadAudioStream(AudioStream stream); // Unload audio stream and free memory
UnloadAutomationEventList	function	1	0	raylib.h	1187	I void UnloadAutomationEventList(AutomationEventList list); // Unload automation events list from file
UnloadCodepoints	function	1	0	raylib.h	1526	I void UnloadCodepoints(int *codepoints); // Unload codepoints data from memory
UnloadDirectoryFiles	function	1	0	raylib.h	1168	I void UnloadDirectoryFiles(FilePathList files); // Unload filepaths
UnloadDroppedFiles	function	1	0	raylib.h	1171	I void UnloadDroppedFiles(FilePathList files); // Unload dropped filepaths
UnloadFileData	function	1	0	raylib.h	1130	I void UnloadFileData(unsigned char *data); // Unload file data allocated by LoadFileData()
UnloadFileText	function	1	0	raylib.h	1134	I void UnloadFileText(char *text); // Unload file text data allocated by LoadFileText()
UnloadFont	function	1	0	raylib.h	1502	I void UnloadFont(Font font); // Unload font from GPU memory (VRAM)
UnloadFontData	function	2	0	raylib.h	1501	I void UnloadFontData(GlyphInfo *glyphs, int glyphCount); // Unload font chars info data (RAM)
UnloadImage	function	1	0	raylib.h	1363	I void UnloadImage(Image image); // Unload image from CPU memory (RAM)
UnloadImageColors	function	1	0	raylib.h	1412	I void UnloadImageColors(Color *colors); // Unload color data loaded with LoadImageColors()
UnloadImagePalette	function	1	0	raylib.h	1413	I void UnloadImagePalette(Color *colors); // Unload colors palette loaded with LoadImagePalette()
UnloadMaterial	function	1	0	raylib.h	1639	I void UnloadMaterial(Material material); // Unload material from GPU memory (VRAM)
UnloadMesh	function	1	0	raylib.h	1614	I void UnloadMesh(Mesh mesh); // Unload mesh data from CPU and GPU
UnloadModel	function	1	0	raylib.h	1598	I void UnloadModel(Model model); // Unload model (including meshes) from memory (RAM and/or VRAM)
UnloadModelAnimations	function	2	0	raylib.h	1647	I void UnloadModelAnimations(ModelAnimation *animations, int animCount); // Unload animation array data
UnloadMusicStream	function	1	0	raylib.h	1706	I void UnloadMusicStream(Music music); // Unload music stream
UnloadRandomSequence	function	1	0	raylib.h	1111	I void UnloadRandomSequence(int *sequence); // Unload random values sequence
UnloadRenderTexture	function	1	0	raylib.h	1452	I void UnloadRenderTexture(RenderTexture2D target); // Unload render texture from GPU memory (VRAM)
UnloadShader	function	1	0	raylib.h	1080	I void UnloadShader(Shader shader); // Unload shader from GPU memory (VRAM)
UnloadSound	function	1	0	raylib.h	1682	I void UnloadSound(Sound sound); // Unload sound
